gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
863531129	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:346805	Animalia	Chordata	Aves	Suliformes	Phalacrocoracidae	Leucocarbo	Leucocarbo bougainvillii		SPECIES	Phalacrocorax bougainvillii (Lesson, 1837)	Phalacrocorax bougainvillii (Lesson, 1837)	(Lesson, 1837)	PE	Paracas	Ica	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-13.8355	-76.25001	2178.0	1.0E-5					1968-11-09	9	11	1968	2481884	6066498	PRESERVED_SPECIMEN	MCZ	Orn	346805		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Elizabeth S. Paynter, Raymond A. Paynter, Jr.			2024-03-26T19:38:45.689Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
863531128	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:346811	Animalia	Chordata	Aves	Suliformes	Phalacrocoracidae	Leucocarbo	Leucocarbo bougainvillii		SPECIES	Phalacrocorax bougainvillii (Lesson, 1837)	Phalacrocorax bougainvillii (Lesson, 1837)	(Lesson, 1837)	PE	Paracas	Ica	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-13.8355	-76.25001	2178.0	1.0E-5					1968-11-09	9	11	1968	2481884	6066498	PRESERVED_SPECIMEN	MCZ	Orn	346811		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Elizabeth S. Paynter, Raymond A. Paynter, Jr.			2024-03-26T19:38:45.580Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
863531116	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:346810	Animalia	Chordata	Aves	Suliformes	Phalacrocoracidae	Leucocarbo	Leucocarbo bougainvillii		SPECIES	Phalacrocorax bougainvillii (Lesson, 1837)	Phalacrocorax bougainvillii (Lesson, 1837)	(Lesson, 1837)	PE	Paracas	Ica	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-13.8355	-76.25001	2178.0	1.0E-5					1968-11-09	9	11	1968	2481884	6066498	PRESERVED_SPECIMEN	MCZ	Orn	346810		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Elizabeth S. Paynter, Raymond A. Paynter, Jr.			2024-03-26T19:38:45.619Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
863531115	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:346796	Animalia	Chordata	Aves	Suliformes	Phalacrocoracidae	Leucocarbo	Leucocarbo bougainvillii		SPECIES	Phalacrocorax bougainvillii (Lesson, 1837)	Phalacrocorax bougainvillii (Lesson, 1837)	(Lesson, 1837)	PE	Paracas	Ica	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-13.8355	-76.25001	2178.0	1.0E-5					1968-11-09	9	11	1968	2481884	6066498	PRESERVED_SPECIMEN	MCZ	Orn	346796		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Elizabeth S. Paynter, Raymond A. Paynter, Jr.			2024-03-26T19:41:59.782Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
863531100	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:346794	Animalia	Chordata	Aves	Suliformes	Phalacrocoracidae	Leucocarbo	Leucocarbo bougainvillii		SPECIES	Phalacrocorax bougainvillii (Lesson, 1837)	Phalacrocorax bougainvillii (Lesson, 1837)	(Lesson, 1837)	PE	Paracas	Ica	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-13.8355	-76.25001	2178.0	1.0E-5					1968-11-09	9	11	1968	2481884	6066498	PRESERVED_SPECIMEN	MCZ	Orn	346794		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Elizabeth S. Paynter, Raymond A. Paynter, Jr.			2024-03-26T19:42:03.129Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
863531098	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:346802	Animalia	Chordata	Aves	Suliformes	Phalacrocoracidae	Leucocarbo	Leucocarbo bougainvillii		SPECIES	Phalacrocorax bougainvillii (Lesson, 1837)	Phalacrocorax bougainvillii (Lesson, 1837)	(Lesson, 1837)	PE	Paracas	Ica	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-13.8355	-76.25001	2178.0	1.0E-5					1968-11-09	9	11	1968	2481884	6066498	PRESERVED_SPECIMEN	MCZ	Orn	346802		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Elizabeth S. Paynter, Raymond A. Paynter, Jr.			2024-03-26T19:38:45.335Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
863531094	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:346793	Animalia	Chordata	Aves	Suliformes	Phalacrocoracidae	Leucocarbo	Leucocarbo bougainvillii		SPECIES	Phalacrocorax bougainvillii (Lesson, 1837)	Phalacrocorax bougainvillii (Lesson, 1837)	(Lesson, 1837)	PE	Paracas	Ica	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-13.8355	-76.25001	2178.0	1.0E-5					1968-11-09	9	11	1968	2481884	6066498	PRESERVED_SPECIMEN	MCZ	Orn	346793		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Elizabeth S. Paynter, Raymond A. Paynter, Jr.			2024-03-26T19:42:01.435Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
863531087	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:346792	Animalia	Chordata	Aves	Suliformes	Phalacrocoracidae	Leucocarbo	Leucocarbo bougainvillii		SPECIES	Phalacrocorax bougainvillii (Lesson, 1837)	Phalacrocorax bougainvillii (Lesson, 1837)	(Lesson, 1837)	PE	Paracas	Ica	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-13.8355	-76.25001	2178.0	1.0E-5					1968-11-09	9	11	1968	2481884	6066498	PRESERVED_SPECIMEN	MCZ	Orn	346792		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Elizabeth S. Paynter, Raymond A. Paynter, Jr.			2024-03-26T19:38:45.449Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
863507055	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:346812	Animalia	Chordata	Aves	Suliformes	Phalacrocoracidae	Leucocarbo	Leucocarbo bougainvillii		SPECIES	Phalacrocorax bougainvillii (Lesson, 1837)	Phalacrocorax bougainvillii (Lesson, 1837)	(Lesson, 1837)	PE	Paracas	Ica	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-13.8355	-76.25001	2178.0	1.0E-5					1968-11-06	6	11	1968	2481884	6066498	PRESERVED_SPECIMEN	MCZ	Orn	346812		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Elizabeth S. Paynter, Raymond A. Paynter, Jr.			2024-03-26T19:38:45.689Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
863495075	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:340702	Animalia	Chordata	Aves	Suliformes	Phalacrocoracidae	Leucocarbo	Leucocarbo bougainvillii		SPECIES	Phalacrocorax bougainvillii (Lesson, 1837)	Phalacrocorax bougainvillii (Lesson, 1837)	(Lesson, 1837)	PE	Paracas, Paracas Bay		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-13.83999	-76.25207	3036.0	1.0E-5									2481884	6066498	PRESERVED_SPECIMEN	MCZ	Orn	340702		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	James Henry Blake			2024-03-26T19:38:45.367Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
